,Season Start,Team,Full Team Name,Sum of  Salary in $ 
2004Milwaukee Bucks,2004,MIL,Milwaukee Bucks,57448246
2004Minnesota Timberwolves,2004,MIN,Minnesota Timberwolves,70123411
2004Brooklyn Nets,2004,NJN,Brooklyn Nets,54983980
2004New Orleans Pelicans,2004,NOH,New Orleans Pelicans,56572882
2004New York Knicks,2004,NYK,New York Knicks,102567539
2004Oklahoma City Thunder,2004,OKC,Oklahoma City Thunder,53821301
2004Orlando Magic,2004,ORL,Orlando Magic,66445249
2004Philadelphia 76ers,2004,PHI,Philadelphia 76ers,71951878
2004Phoenix Suns,2004,PHO,Phoenix Suns,44598682
2004Portland Trail Blazers,2004,POR,Portland Trail Blazers,83671309
2004Sacramento Kings,2004,SAC,Sacramento Kings,61807688
2004Toronto Raptors ,2004,TOR,Toronto Raptors ,61703775
2004Utah Jazz,2004,UTA,Utah Jazz,43515760
2004Washington Wizards,2004,WAS,Washington Wizards,49797050
2005Atlanta Hawks,2005,ATL,Atlanta Hawks,42944553
2005Boston Celtics,2005,BOS,Boston Celtics,56907300
2005Chicago Bulls,2005,CHI,Chicago Bulls,57166530
2005Cleveland Caveliers,2005,CLE,Cleveland Caveliers,51303962
2005Dallas Mavericks,2005,DAL,Dallas Mavericks,98454832
2005Denver Nuggets,2005,DEN,Denver Nuggets,56492172
2005Detroit Pistons,2005,DET,Detroit Pistons,59619275
2005Golden State Warriors,2005,GSW,Golden State Warriors,57114566
2005Houston Rockets,2005,HOU,Houston Rockets,69257404
2005Indiana Pacers,2005,IND,Indiana Pacers,78791779
2005Los Angeles Clippers,2005,LAC,Los Angeles Clippers,51358645
2005Los Angeles Lakers,2005,LAL,Los Angeles Lakers,72917945
2005Memphis Grizzlies,2005,MEM,Memphis Grizzlies,67525538
2005Miami Heat,2005,MIA,Miami Heat,60732452
2005Milwaukee Bucks,2005,MIL,Milwaukee Bucks,63022514
2005Minnesota Timberwolves,2005,MIN,Minnesota Timberwolves,61830186
2005Brooklyn Nets,2005,NJN,Brooklyn Nets,66449350
2005New Orleans Pelicans,2005,NOH,New Orleans Pelicans,41277617
2005New York Knicks,2005,NYK,New York Knicks,126631098
2005Oklahoma City Thunder,2005,OKC,Oklahoma City Thunder,49253379
2005Orlando Magic,2005,ORL,Orlando Magic,75784782
2005Philadelphia 76ers,2005,PHI,Philadelphia 76ers,84807300
2005Portland Trail Blazers,2005,POR,Portland Trail Blazers,60017964
2005Sacramento Kings,2005,SAC,Sacramento Kings,62811975
2005Toronto Raptors ,2005,TOR,Toronto Raptors ,62411884
2005Utah Jazz,2005,UTA,Utah Jazz,57372902
2005Washington Wizards,2005,WAS,Washington Wizards,54555947
2006Atlanta Hawks,2006,ATL,Atlanta Hawks,48581972
2006Chicago Bulls,2006,CHI,Chicago Bulls,54754904
2006Cleveland Caveliers,2006,CLE,Cleveland Caveliers,62992729
2006Detroit Pistons,2006,DET,Detroit Pistons,59010951
2006Golden State Warriors,2006,GSW,Golden State Warriors,65012368
2006Houston Rockets,2006,HOU,Houston Rockets,63837566
2006Los Angeles Clippers,2006,LAC,Los Angeles Clippers,59181038
2006Los Angeles Lakers,2006,LAL,Los Angeles Lakers,77099949
2006Memphis Grizzlies,2006,MEM,Memphis Grizzlies,61960489
2006Milwaukee Bucks,2006,MIL,Milwaukee Bucks,63498518
2006Minnesota Timberwolves,2006,MIN,Minnesota Timberwolves,66820673
2006Brooklyn Nets,2006,NJN,Brooklyn Nets,64486110
2006New Orleans Pelicans,2006,NOH,New Orleans Pelicans,53748991
2006Oklahoma City Thunder,2006,OKC,Oklahoma City Thunder,56986831
2006Orlando Magic,2006,ORL,Orlando Magic,61447108
2006Philadelphia 76ers,2006,PHI,Philadelphia 76ers,69140163
2006Phoenix Suns,2006,PHO,Phoenix Suns,65841120
2006Portland Trail Blazers,2006,POR,Portland Trail Blazers,75026386
2006Sacramento Kings,2006,SAC,Sacramento Kings,64296611
2006San Antonio Spurs,2006,SAS,San Antonio Spurs,65654320
2006Toronto Raptors ,2006,TOR,Toronto Raptors ,51015491
2006Washington Wizards,2006,WAS,Washington Wizards,62733705
2007Atlanta Hawks,2007,ATL,Atlanta Hawks,55501133
2007Chicago Bulls,2007,CHI,Chicago Bulls,63084166
2007Cleveland Caveliers,2007,CLE,Cleveland Caveliers,82217583
2007Dallas Mavericks,2007,DAL,Dallas Mavericks,101694879
2007Denver Nuggets,2007,DEN,Denver Nuggets,82958227
2007Detroit Pistons,2007,DET,Detroit Pistons,65898875
2007Golden State Warriors,2007,GSW,Golden State Warriors,62148303
2007Indiana Pacers,2007,IND,Indiana Pacers,66260246
2007Los Angeles Clippers,2007,LAC,Los Angeles Clippers,64847945
2007Los Angeles Lakers,2007,LAL,Los Angeles Lakers,72626796
2007Memphis Grizzlies,2007,MEM,Memphis Grizzlies,54118526
2007Miami Heat,2007,MIA,Miami Heat,74767603
2007Milwaukee Bucks,2007,MIL,Milwaukee Bucks,62571522
2007Minnesota Timberwolves,2007,MIN,Minnesota Timberwolves,69043895
2007Brooklyn Nets,2007,NJN,Brooklyn Nets,61836211
2007New Orleans Pelicans,2007,NOH,New Orleans Pelicans,62609991
2007New York Knicks,2007,NYK,New York Knicks,96190114
2007Oklahoma City Thunder,2007,OKC,Oklahoma City Thunder,60861388
2007Orlando Magic,2007,ORL,Orlando Magic,58165973
2007Phoenix Suns,2007,PHO,Phoenix Suns,71323049
2007Portland Trail Blazers,2007,POR,Portland Trail Blazers,73241335
2007San Antonio Spurs,2007,SAS,San Antonio Spurs,70048523
2007Toronto Raptors ,2007,TOR,Toronto Raptors ,66042375
2007Utah Jazz,2007,UTA,Utah Jazz,64959089
2007Washington Wizards,2007,WAS,Washington Wizards,65278996
2008Atlanta Hawks,2008,ATL,Atlanta Hawks,68168841
2008Boston Celtics,2008,BOS,Boston Celtics,79188973
2008Chicago Bulls,2008,CHI,Chicago Bulls,68126774
2008Cleveland Caveliers,2008,CLE,Cleveland Caveliers,91298233
2008Dallas Mavericks,2008,DAL,Dallas Mavericks,95045559
2008Denver Nuggets,2008,DEN,Denver Nuggets,70121003
2008Detroit Pistons,2008,DET,Detroit Pistons,71434174
2008Houston Rockets,2008,HOU,Houston Rockets,73302272
2008Indiana Pacers,2008,IND,Indiana Pacers,69668818
2008Los Angeles Clippers,2008,LAC,Los Angeles Clippers,62764206
2008Los Angeles Lakers,2008,LAL,Los Angeles Lakers,78245793
2008Memphis Grizzlies,2008,MEM,Memphis Grizzlies,55958148
2008Milwaukee Bucks,2008,MIL,Milwaukee Bucks,71360656
2008Minnesota Timberwolves,2008,MIN,Minnesota Timberwolves,66445144
2008Brooklyn Nets,2008,NJN,Brooklyn Nets,62666523
2008New Orleans Pelicans,2008,NOH,New Orleans Pelicans,67530808
2008New York Knicks,2008,NYK,New York Knicks,96643646
2008Oklahoma City Thunder,2008,OKC,Oklahoma City Thunder,68341605
2008Orlando Magic,2008,ORL,Orlando Magic,69672979
2008Philadelphia 76ers,2008,PHI,Philadelphia 76ers,68301007
2008Phoenix Suns,2008,PHO,Phoenix Suns,76130408
2008Portland Trail Blazers,2008,POR,Portland Trail Blazers,80260059
2008Sacramento Kings,2008,SAC,Sacramento Kings,69204512
2008San Antonio Spurs,2008,SAS,San Antonio Spurs,68020487
2008Toronto Raptors ,2008,TOR,Toronto Raptors ,73446970
2008Utah Jazz,2008,UTA,Utah Jazz,65841407
2008Washington Wizards,2008,WAS,Washington Wizards,70743317
2009Atlanta Hawks,2009,ATL,Atlanta Hawks,65883642
2009Boston Celtics,2009,BOS,Boston Celtics,83552174
2009Chicago Bulls,2009,CHI,Chicago Bulls,69700359
2009Cleveland Caveliers,2009,CLE,Cleveland Caveliers,83398534
2009Dallas Mavericks,2009,DAL,Dallas Mavericks,88916075
2009Denver Nuggets,2009,DEN,Denver Nuggets,74935538
2009Detroit Pistons,2009,DET,Detroit Pistons,60185833
2009Golden State Warriors,2009,GSW,Golden State Warriors,65352372
2009Houston Rockets,2009,HOU,Houston Rockets,68914971
2009Indiana Pacers,2009,IND,Indiana Pacers,66733257
2009Los Angeles Clippers,2009,LAC,Los Angeles Clippers,61616409
2009Los Angeles Lakers,2009,LAL,Los Angeles Lakers,91378064
2009Memphis Grizzlies,2009,MEM,Memphis Grizzlies,57287474
2009Miami Heat,2009,MIA,Miami Heat,74208013
2009Milwaukee Bucks,2009,MIL,Milwaukee Bucks,66775602
2009Minnesota Timberwolves,2009,MIN,Minnesota Timberwolves,62253360
2009Brooklyn Nets,2009,NJN,Brooklyn Nets,59366715
2009New Orleans Pelicans,2009,NOH,New Orleans Pelicans,70163827
2009New York Knicks,2009,NYK,New York Knicks,85710076
2009Oklahoma City Thunder,2009,OKC,Oklahoma City Thunder,58438646
2009Orlando Magic,2009,ORL,Orlando Magic,82200916
2009Philadelphia 76ers,2009,PHI,Philadelphia 76ers,64883448
2009Phoenix Suns,2009,PHO,Phoenix Suns,65288544
2009Portland Trail Blazers,2009,POR,Portland Trail Blazers,56946258
2009Sacramento Kings,2009,SAC,Sacramento Kings,67515718
2009San Antonio Spurs,2009,SAS,San Antonio Spurs,79338309
2009Toronto Raptors ,2009,TOR,Toronto Raptors ,67822433
2009Utah Jazz,2009,UTA,Utah Jazz,71905244
2009Washington Wizards,2009,WAS,Washington Wizards,73440274
2010Atlanta Hawks,2010,ATL,Atlanta Hawks,71469843
2010Boston Celtics,2010,BOS,Boston Celtics,82045867
2010Chicago Bulls,2010,CHI,Chicago Bulls,54538076
2010Cleveland Caveliers,2010,CLE,Cleveland Caveliers,53990021
2010Dallas Mavericks,2010,DAL,Dallas Mavericks,85409890
2010Denver Nuggets,2010,DEN,Denver Nuggets,68019290
2010Golden State Warriors,2010,GSW,Golden State Warriors,68415336
2010Houston Rockets,2010,HOU,Houston Rockets,72315654
2010Indiana Pacers,2010,IND,Indiana Pacers,65088630
2010Los Angeles Clippers,2010,LAC,Los Angeles Clippers,53225329
2010Los Angeles Lakers,2010,LAL,Los Angeles Lakers,91428140
2010Memphis Grizzlies,2010,MEM,Memphis Grizzlies,70241344
2010Milwaukee Bucks,2010,MIL,Milwaukee Bucks,69076690
2010Minnesota Timberwolves,2010,MIN,Minnesota Timberwolves,53461123
2010Brooklyn Nets,2010,NJN,Brooklyn Nets,58495989
2010New Orleans Pelicans,2010,NOH,New Orleans Pelicans,68230729
2010New York Knicks,2010,NYK,New York Knicks,67016562
2010Oklahoma City Thunder,2010,OKC,Oklahoma City Thunder,55922488
2010Orlando Magic,2010,ORL,Orlando Magic,90770804
2010Philadelphia 76ers,2010,PHI,Philadelphia 76ers,68915246
2010Portland Trail Blazers,2010,POR,Portland Trail Blazers,74584058
2010Sacramento Kings,2010,SAC,Sacramento Kings,45268465
2010San Antonio Spurs,2010,SAS,San Antonio Spurs,69522311
2010Toronto Raptors ,2010,TOR,Toronto Raptors ,69992648
2010Utah Jazz,2010,UTA,Utah Jazz,75855296
2010Washington Wizards,2010,WAS,Washington Wizards,58324988
2011Atlanta Hawks,2011,ATL,Atlanta Hawks,73669912
2011Boston Celtics,2011,BOS,Boston Celtics,79820530
2011Chicago Bulls,2011,CHI,Chicago Bulls,69548447
2011Cleveland Caveliers,2011,CLE,Cleveland Caveliers,64875599
2011Dallas Mavericks,2011,DAL,Dallas Mavericks,74463409
2011Denver Nuggets,2011,DEN,Denver Nuggets,58553173
2011Detroit Pistons,2011,DET,Detroit Pistons,70923605
2011Golden State Warriors,2011,GSW,Golden State Warriors,61576901
2011Houston Rockets,2011,HOU,Houston Rockets,57021755
2011Indiana Pacers,2011,IND,Indiana Pacers,51554083
2011Los Angeles Clippers,2011,LAC,Los Angeles Clippers,67333389
2011Los Angeles Lakers,2011,LAL,Los Angeles Lakers,88264478
2011Memphis Grizzlies,2011,MEM,Memphis Grizzlies,70628007
2011Miami Heat,2011,MIA,Miami Heat,74117458
2011Milwaukee Bucks,2011,MIL,Milwaukee Bucks,60192388
2011Minnesota Timberwolves,2011,MIN,Minnesota Timberwolves,56844339
2011Brooklyn Nets,2011,NJN,Brooklyn Nets,65281235
2011New Orleans Pelicans,2011,NOH,New Orleans Pelicans,65441008
2011New York Knicks,2011,NYK,New York Knicks,76208092
2011Oklahoma City Thunder,2011,OKC,Oklahoma City Thunder,59501709
2011Orlando Magic,2011,ORL,Orlando Magic,86962825
2011Philadelphia 76ers,2011,PHI,Philadelphia 76ers,66672368
2011Phoenix Suns,2011,PHO,Phoenix Suns,80640576
2011Portland Trail Blazers,2011,POR,Portland Trail Blazers,79568536
2011Sacramento Kings,2011,SAC,Sacramento Kings,48950236
2011San Antonio Spurs,2011,SAS,San Antonio Spurs,73732762
2011Toronto Raptors ,2011,TOR,Toronto Raptors ,55063049
2011Utah Jazz,2011,UTA,Utah Jazz,56948761
2011Washington Wizards,2011,WAS,Washington Wizards,55386345
2012Atlanta Hawks,2012,ATL,Atlanta Hawks,66768365
2012Chicago Bulls,2012,CHI,Chicago Bulls,75627699
2012Cleveland Caveliers,2012,CLE,Cleveland Caveliers,68428583
2012Dallas Mavericks,2012,DAL,Dallas Mavericks,67399169
2012Denver Nuggets,2012,DEN,Denver Nuggets,68566062
2012Golden State Warriors,2012,GSW,Golden State Warriors,69695346
2012Indiana Pacers,2012,IND,Indiana Pacers,66687960
2012Los Angeles Clippers,2012,LAC,Los Angeles Clippers,74354449
2012Los Angeles Lakers,2012,LAL,Los Angeles Lakers,100451593
2012Memphis Grizzlies,2012,MEM,Memphis Grizzlies,62954838
2012Miami Heat,2012,MIA,Miami Heat,81558311
2012Milwaukee Bucks,2012,MIL,Milwaukee Bucks,62476395
2012Minnesota Timberwolves,2012,MIN,Minnesota Timberwolves,69001896
2012Brooklyn Nets,2012,NJN,Brooklyn Nets,84290205
2012New Orleans Pelicans,2012,NOH,New Orleans Pelicans,63901224
2012New York Knicks,2012,NYK,New York Knicks,77970893
2012Oklahoma City Thunder,2012,OKC,Oklahoma City Thunder,67863244
2012Orlando Magic,2012,ORL,Orlando Magic,87114818
2012Philadelphia 76ers,2012,PHI,Philadelphia 76ers,84032270
2012Phoenix Suns,2012,PHO,Phoenix Suns,60844774
2012Portland Trail Blazers,2012,POR,Portland Trail Blazers,73656857
2012Sacramento Kings,2012,SAC,Sacramento Kings,54317436
2012San Antonio Spurs,2012,SAS,San Antonio Spurs,69787704
2012Toronto Raptors ,2012,TOR,Toronto Raptors ,66974563
2012Utah Jazz,2012,UTA,Utah Jazz,64717649
2012Washington Wizards,2012,WAS,Washington Wizards,66343388
2013Atlanta Hawks,2013,ATL,Atlanta Hawks,55131673
2013Boston Celtics,2013,BOS,Boston Celtics,63769609
2013Chicago Bulls,2013,CHI,Chicago Bulls,85095835
2013Cleveland Caveliers,2013,CLE,Cleveland Caveliers,47050404
2013Dallas Mavericks,2013,DAL,Dallas Mavericks,67486257
2013Denver Nuggets,2013,DEN,Denver Nuggets,67324401
2013Detroit Pistons,2013,DET,Detroit Pistons,59157073
2013Golden State Warriors,2013,GSW,Golden State Warriors,66764126
2013Houston Rockets,2013,HOU,Houston Rockets,63413126
2013Indiana Pacers,2013,IND,Indiana Pacers,55015196
2013Los Angeles Clippers,2013,LAC,Los Angeles Clippers,73103861
2013Los Angeles Lakers,2013,LAL,Los Angeles Lakers,76755609
2013Memphis Grizzlies,2013,MEM,Memphis Grizzlies,73789859
2013Miami Heat,2013,MIA,Miami Heat,82218984
2013Milwaukee Bucks,2013,MIL,Milwaukee Bucks,49175131
2013Minnesota Timberwolves,2013,MIN,Minnesota Timberwolves,67485845
2013Brooklyn Nets,2013,NJN,Brooklyn Nets,102608995
2013New Orleans Pelicans,2013,NOH,New Orleans Pelicans,62186089
2013New York Knicks,2013,NYK,New York Knicks,88890427
2013Oklahoma City Thunder,2013,OKC,Oklahoma City Thunder,71181364
2013Orlando Magic,2013,ORL,Orlando Magic,58318374
2013Philadelphia 76ers,2013,PHI,Philadelphia 76ers,58945006
2013Phoenix Suns,2013,PHO,Phoenix Suns,64412586
2013Portland Trail Blazers,2013,POR,Portland Trail Blazers,61539586
2013Sacramento Kings,2013,SAC,Sacramento Kings,78765372
2013San Antonio Spurs,2013,SAS,San Antonio Spurs,63666028
2013Toronto Raptors ,2013,TOR,Toronto Raptors ,53076014
2013Utah Jazz,2013,UTA,Utah Jazz,54491476
2013Washington Wizards,2013,WAS,Washington Wizards,64064905
2014Atlanta Hawks,2014,ATL,Atlanta Hawks,58337671
2014Boston Celtics,2014,BOS,Boston Celtics,61092622
2014Cleveland Caveliers,2014,CLE,Cleveland Caveliers,82038768
2014Dallas Mavericks,2014,DAL,Dallas Mavericks,83970065
2014Denver Nuggets,2014,DEN,Denver Nuggets,56278056
2014Detroit Pistons,2014,DET,Detroit Pistons,66738182
2014Golden State Warriors,2014,GSW,Golden State Warriors,73623654
2014Houston Rockets,2014,HOU,Houston Rockets,87299371
2014Indiana Pacers,2014,IND,Indiana Pacers,75174324
2014Los Angeles Clippers,2014,LAC,Los Angeles Clippers,80901123
2014Los Angeles Lakers,2014,LAL,Los Angeles Lakers,70914495
2014Memphis Grizzlies,2014,MEM,Memphis Grizzlies,75341226
2014Miami Heat,2014,MIA,Miami Heat,82351805
2014Milwaukee Bucks,2014,MIL,Milwaukee Bucks,61443341
2014Minnesota Timberwolves,2014,MIN,Minnesota Timberwolves,64733364
2014Brooklyn Nets,2014,NJN,Brooklyn Nets,91873492
2014New Orleans Pelicans,2014,NOH,New Orleans Pelicans,69390028
2014New York Knicks,2014,NYK,New York Knicks,83022165
2014Oklahoma City Thunder,2014,OKC,Oklahoma City Thunder,78791632
2014Orlando Magic,2014,ORL,Orlando Magic,53338463
2014Philadelphia 76ers,2014,PHI,Philadelphia 76ers,56455990
2014Phoenix Suns,2014,PHO,Phoenix Suns,66503432
2014Portland Trail Blazers,2014,POR,Portland Trail Blazers,92220907
2014Sacramento Kings,2014,SAC,Sacramento Kings,73675912
2014San Antonio Spurs,2014,SAS,San Antonio Spurs,69614583
2014Toronto Raptors ,2014,TOR,Toronto Raptors ,75562364
2014Utah Jazz,2014,UTA,Utah Jazz,58996387
2014Washington Wizards,2014,WAS,Washington Wizards,83108421
2015Atlanta Hawks,2015,ATL,Atlanta Hawks,71453126
2015Boston Celtics,2015,BOS,Boston Celtics,77202316
2015Charlotte Hornets,2015,CHA,Charlotte Hornets,77609865
2015Chicago Bulls,2015,CHI,Chicago Bulls,85385898
2015Cleveland Caveliers,2015,CLE,Cleveland Caveliers,105962520
2015Dallas Mavericks,2015,DAL,Dallas Mavericks,74040317
2015Denver Nuggets,2015,DEN,Denver Nuggets,72606354
2015Detroit Pistons,2015,DET,Detroit Pistons,76638790
2015Golden State Warriors,2015,GSW,Golden State Warriors,93707197
2015Houston Rockets,2015,HOU,Houston Rockets,90188412
2015Indiana Pacers,2015,IND,Indiana Pacers,71286088
2015Los Angeles Clippers,2015,LAC,Los Angeles Clippers,95585714
2015Los Angeles Lakers,2015,LAL,Los Angeles Lakers,72415125
2015Memphis Grizzlies,2015,MEM,Memphis Grizzlies,83037255
2015Miami Heat,2015,MIA,Miami Heat,85826352
2015Milwaukee Bucks,2015,MIL,Milwaukee Bucks,70993573
2015Minnesota Timberwolves,2015,MIN,Minnesota Timberwolves,72458417
2015Brooklyn Nets,2015,NJN,Brooklyn Nets,83831503
2015New Orleans Pelicans,2015,NOH,New Orleans Pelicans,84384711
2015New York Knicks,2015,NYK,New York Knicks,75311181
2015Oklahoma City Thunder,2015,OKC,Oklahoma City Thunder,94622660
2015Orlando Magic,2015,ORL,Orlando Magic,63349656
2015Philadelphia 76ers,2015,PHI,Philadelphia 76ers,63646397
2015Phoenix Suns,2015,PHO,Phoenix Suns,69701209
2015Portland Trail Blazers,2015,POR,Portland Trail Blazers,61000674
2015Sacramento Kings,2015,SAC,Sacramento Kings,71840771
2015San Antonio Spurs,2015,SAS,San Antonio Spurs,87365099
2015Toronto Raptors ,2015,TOR,Toronto Raptors ,71934665
2015Utah Jazz,2015,UTA,Utah Jazz,64783884
2015Washington Wizards,2015,WAS,Washington Wizards,84237317
2016Atlanta Hawks,2016,ATL,Atlanta Hawks,96007250
2016Boston Celtics,2016,BOS,Boston Celtics,93465328
2016Charlotte Hornets,2016,CHA,Charlotte Hornets,90175926
2016Chicago Bulls,2016,CHI,Chicago Bulls,92571387
2016Cleveland Caveliers,2016,CLE,Cleveland Caveliers,127254579
2016Dallas Mavericks,2016,DAL,Dallas Mavericks,103994075
2016Denver Nuggets,2016,DEN,Denver Nuggets,82573997
2016Detroit Pistons,2016,DET,Detroit Pistons,108968495
2016Golden State Warriors,2016,GSW,Golden State Warriors,101725589
2016Houston Rockets,2016,HOU,Houston Rockets,90498298
2016Indiana Pacers,2016,IND,Indiana Pacers,94008504
2016Los Angeles Clippers,2016,LAC,Los Angeles Clippers,116237541
2016Los Angeles Lakers,2016,LAL,Los Angeles Lakers,95226183
2016Memphis Grizzlies,2016,MEM,Memphis Grizzlies,111045893
2016Miami Heat,2016,MIA,Miami Heat,101818405
2016Milwaukee Bucks,2016,MIL,Milwaukee Bucks,106512121
2016Minnesota Timberwolves,2016,MIN,Minnesota Timberwolves,81621379
2016Brooklyn Nets,2016,NJN,Brooklyn Nets,84083139
2016New Orleans Pelicans,2016,NOH,New Orleans Pelicans,101707386
2016New York Knicks,2016,NYK,New York Knicks,103595894
2016Oklahoma City Thunder,2016,OKC,Oklahoma City Thunder,91339949
2016Orlando Magic,2016,ORL,Orlando Magic,104110336
2016Philadelphia 76ers,2016,PHI,Philadelphia 76ers,85674275
2016Phoenix Suns,2016,PHO,Phoenix Suns,85115778
2016Portland Trail Blazers,2016,POR,Portland Trail Blazers,111872768
2016Sacramento Kings,2016,SAC,Sacramento Kings,96043092
2016San Antonio Spurs,2016,SAS,San Antonio Spurs,108640621
2016Toronto Raptors ,2016,TOR,Toronto Raptors ,108664969
2016Utah Jazz,2016,UTA,Utah Jazz,80598193
2016Washington Wizards,2016,WAS,Washington Wizards,102334382
2017Atlanta Hawks,2017,ATL,Atlanta Hawks,99002495
2017Boston Celtics,2017,BOS,Boston Celtics,109926833
2017Charlotte Hornets,2017,CHA,Charlotte Hornets,117316719
2017Chicago Bulls,2017,CHI,Chicago Bulls,84046990
2017Cleveland Caveliers,2017,CLE,Cleveland Caveliers,137082833
2017Dallas Mavericks,2017,DAL,Dallas Mavericks,86616514
2017Denver Nuggets,2017,DEN,Denver Nuggets,106868033
2017Detroit Pistons,2017,DET,Detroit Pistons,116292753
2017Golden State Warriors,2017,GSW,Golden State Warriors,137494845
2017Houston Rockets,2017,HOU,Houston Rockets,117152769
2017Indiana Pacers,2017,IND,Indiana Pacers,93605043
2017Los Angeles Clippers,2017,LAC,Los Angeles Clippers,119297226
2017Los Angeles Lakers,2017,LAL,Los Angeles Lakers,104408568
2017Memphis Grizzlies,2017,MEM,Memphis Grizzlies,112398102
2017Miami Heat,2017,MIA,Miami Heat,128182424
2017Milwaukee Bucks,2017,MIL,Milwaukee Bucks,119884837
2017Minnesota Timberwolves,2017,MIN,Minnesota Timberwolves,117468554
2017Brooklyn Nets,2017,NJN,Brooklyn Nets,95722044
2017New Orleans Pelicans,2017,NOH,New Orleans Pelicans,122034101
2017New York Knicks,2017,NYK,New York Knicks,106747886
2017Oklahoma City Thunder,2017,OKC,Oklahoma City Thunder,134294056
2017Orlando Magic,2017,ORL,Orlando Magic,100045956
2017Philadelphia 76ers,2017,PHI,Philadelphia 76ers,99092999
2017Phoenix Suns,2017,PHO,Phoenix Suns,90144813
2017Portland Trail Blazers,2017,POR,Portland Trail Blazers,122197920
2017Sacramento Kings,2017,SAC,Sacramento Kings,94838784
2017San Antonio Spurs,2017,SAS,San Antonio Spurs,116153554
2017Toronto Raptors ,2017,TOR,Toronto Raptors ,117429381
2017Utah Jazz,2017,UTA,Utah Jazz,111201646
2017Washington Wizards,2017,WAS,Washington Wizards,125179329
